,precision,recall,f1,f2,roc_auc,pr_auc,FN,FP,FN_Cost,FP_Cost,Total_Cost,CM
LogReg,0.05313765182186235,0.7835820895522388,0.0995260663507109,0.2089968152866242,0.8457701311918415,0.08440247878317403,29,1871,29000,93550,122550,"[[6723 1871]
 [  29  105]]"
XGBoost,0.0938337801608579,0.26119402985074625,0.13806706114398423,0.1925192519251925,0.8443659929350223,0.08402828375482933,99,338,99000,16900,115900,"[[8256  338]
 [  99   35]]"
LGBM,0.10646387832699619,0.208955223880597,0.14105793450881612,0.17521902377972465,0.8382123591954123,0.08519060155800823,106,235,106000,11750,117750,"[[8359  235]
 [ 106   28]]"
BalancedRF,0.109375,0.1044776119402985,0.10687022900763359,0.10542168674698796,0.7500490623447805,0.05800834752911467,120,114,120000,5700,125700,"[[8480  114]
 [ 120   14]]"
CatBoost,0.09259259259259259,0.07462686567164178,0.08264462809917356,0.07763975155279502,0.8016231386701587,0.07489251075639475,124,98,124000,4900,128900,"[[8496   98]
 [ 124   10]]"
DecisionTree,0.06179775280898876,0.08208955223880597,0.07051282051282051,0.07703081232492998,0.5377888599821465,0.019902750231964434,123,167,123000,8350,131350,"[[8427  167]
 [ 123   11]]"
